Data;Fechamento;Volume
29-out-15;4.09;166.100
30-out-15;4.12;71.300
3-nov-15;4.14;186.200
4-nov-15;3.92;859.900
5-nov-15;3.91;91.600
6-nov-15;3.93;57.900
9-nov-15;3.91;74.400
10-nov-15;3.88;36.100
11-nov-15;4,00;123.000
12-nov-15;4.04;36.100
13-nov-15;4.04;35.200
16-nov-15;4.11;199.400
17-nov-15;4.02;158.600
18-nov-15;4.05;25.900
19-nov-15;4.09;21.200
23-nov-15;4.01;217.100
24-nov-15;3.97;58.300
25-nov-15;4.06;71.400
26-nov-15;4.06;68.900
27-nov-15;4.02;53.700
30-nov-15;4,00;66.600
1-dez-15;3.8;96.400
2-dez-15;3.98;45.600
3-dez-15;4.05;68.600
4-dez-15;4.02;55.200
7-dez-15;4.04;33.400
8-dez-15;3.92;61.200
9-dez-15;3.85;158.600
10-dez-15;3.89;60.800
11-dez-15;3.91;11.700
14-dez-15;3.83;21.300
15-dez-15;3.86;15.200
16-dez-15;3.78;26.400
17-dez-15;3.83;38.700
18-dez-15;3.58;74.000
21-dez-15;3.58;130.500
22-dez-15;3.64;405.500
23-dez-15;3.72;38.600
28-dez-15;3.73;41.100
29-dez-15;3.74;101.000
30-dez-15;3.81;62.400
4-jan-16;3.6;59.500
5-jan-16;3.67;56.900
6-jan-16;3.7;34.700
7-jan-16;3.55;121.000
8-jan-16;3.52;77.800
11-jan-16;3.36;71.300
12-jan-16;3.41;42.300
13-jan-16;3.33;46.000
14-jan-16;3.21;533.200
15-jan-16;3.2;231.700
18-jan-16;3.11;153.700
19-jan-16;3.18;111.100
20-jan-16;3.17;61.200
21-jan-16;3.43;188.700
22-jan-16;3.43;287.700
26-jan-16;3.37;74.600
27-jan-16;3.48;43.900
28-jan-16;3.5;53.900
29-jan-16;3.68;44.000
1-fev-16;3.54;40.400
2-fev-16;3.35;180.200
3-fev-16;3.37;471.300
4-fev-16;3.25;214.100
5-fev-16;3.29;26.800
10-fev-16;3.32;17.800
11-fev-16;3.27;39.800
12-fev-16;3.23;35.100
15-fev-16;3.31;35.900
16-fev-16;3.36;67.600
17-fev-16;3.37;47.300
18-fev-16;3.41;10.000
19-fev-16;3.39;14.500
22-fev-16;3.45;48.600
23-fev-16;3.45;19.400
24-fev-16;3.35;41.300
25-fev-16;3.35;29.400
26-fev-16;3.41;28.700
29-fev-16;3.38;87.600
1-mar-16;3.46;44.000
2-mar-16;3.46;82.100
3-mar-16;3.46;242.500
4-mar-16;3.36;200.100
7-mar-16;3.53;174.000
8-mar-16;3.6;214.800
9-mar-16;3.48;95.500
10-mar-16;3.43;74.900
11-mar-16;3.34;81.500
14-mar-16;3.45;52.200
15-mar-16;3.36;173.400
16-mar-16;3.46;67.200
17-mar-16;3.42;84.300
18-mar-16;3.5;73.600
21-mar-16;3.54;28.000
22-mar-16;3.49;100.700
23-mar-16;3.4;76.000
24-mar-16;3.37;26.000
28-mar-16;3.36;33.500
29-mar-16;3.35;174.000
30-mar-16;3.25;145.400
31-mar-16;3.08;281.900
1-abr-16;3.04;191.100
4-abr-16;3.06;74.100
5-abr-16;3,00;211.900
6-abr-16;2.86;136.600
7-abr-16;2.8;210.100
8-abr-16;2.81;92.100
11-abr-16;2.71;150.800
12-abr-16;2.77;256.000
13-abr-16;2.82;266.800
14-abr-16;2.77;118.700
15-abr-16;2.81;151.400
18-abr-16;2.86;141.400
19-abr-16;2.93;93.900
20-abr-16;2.95;81.600
22-abr-16;3.02;143.200
25-abr-16;2.96;273.900
26-abr-16;3.01;243.200
27-abr-16;3.07;257.100
28-abr-16;3,00;75.000
29-abr-16;2.8;392.100
2-mai-16;2.81;90.100
3-mai-16;2.73;77.600
4-mai-16;2.74;132.700
5-mai-16;2.8;121.300
6-mai-16;2.82;145.500
9-mai-16;2.74;65.200
10-mai-16;2.83;56.600
11-mai-16;2.78;83.300
12-mai-16;2.77;46.300
13-mai-16;2.75;39.100
16-mai-16;2.81;77.100
17-mai-16;2.82;40.100
18-mai-16;2.84;44.400
19-mai-16;2.84;20.500
20-mai-16;2.9;59.200
23-mai-16;2.82;28.700
24-mai-16;2.75;59.900
25-mai-16;2.72;104.400
27-mai-16;2.69;83.700
30-mai-16;2.7;21.200
31-mai-16;2.67;136.000
1-jun-16;2.6;63.500
2-jun-16;2.65;37.600
3-jun-16;2.63;71.300
6-jun-16;2.64;44.600
7-jun-16;2.56;59.600
8-jun-16;2.53;222.700
9-jun-16;2.54;60.500
10-jun-16;2.56;50.300
13-jun-16;2.5;68.700
14-jun-16;2.45;131.300
15-jun-16;2.42;91.100
16-jun-16;2.42;46.000
17-jun-16;2.45;41.200
20-jun-16;2.39;221.300
21-jun-16;2.32;211.500
22-jun-16;2.26;224.400
23-jun-16;2.36;104.700
24-jun-16;2.25;451.100
27-jun-16;2.25;143.500
28-jun-16;2.2;311.900
29-jun-16;2.26;105.500
30-jun-16;2.31;105.700
1-jul-16;2.36;123.100
4-jul-16;2.43;79.000
5-jul-16;2.41;229.400
6-jul-16;2.41;84.300
7-jul-16;2.34;38.200
8-jul-16;2.28;238.500
11-jul-16;2.3;65.900
12-jul-16;2.39;139.000
13-jul-16;2.37;45.000
14-jul-16;2.41;143.100
15-jul-16;2.38;109.700
18-jul-16;2.43;109.800
19-jul-16;2.49;181.600
20-jul-16;2.57;230.400
21-jul-16;2.63;234.600
22-jul-16;2.74;191.900
25-jul-16;2.63;221.800
26-jul-16;2.63;481.700
27-jul-16;2.6;192.800
28-jul-16;2.69;247.700
29-jul-16;2.61;217.700
1-ago-16;2.52;362.800
2-ago-16;2.42;224.300
3-ago-16;2.49;94.100
4-ago-16;2.47;190.800
5-ago-16;2.44;240.500
8-ago-16;2.5;257.800
9-ago-16;2.54;170.900
10-ago-16;2.52;256.000
11-ago-16;2.58;234.300
12-ago-16;2.56;94.400
15-ago-16;2.58;115.400
16-ago-16;2.62;226.900
17-ago-16;2.57;222.200
18-ago-16;2.61;85.000
19-ago-16;2.6;58.000
22-ago-16;2.58;306.400
23-ago-16;2.59;396.400
24-ago-16;2.6;255.800
25-ago-16;2.6;341.600
26-ago-16;2.57;303.500
29-ago-16;2.59;210.100
30-ago-16;2.6;194.100
31-ago-16;2.59;238.700
1-set-16;2.65;338.000
2-set-16;2.59;245.600
5-set-16;2.59;151.100
6-set-16;2.58;342.700
8-set-16;2.58;327.400
9-set-16;2.58;192.900
12-set-16;2.61;200.000
13-set-16;2.57;163.200
14-set-16;2.57;194.200
15-set-16;2.58;53.300
16-set-16;2.58;92.700
19-set-16;2.63;152.500
20-set-16;2.65;97.200
21-set-16;2.69;196.500
22-set-16;2.68;157.800
23-set-16;2.72;339.000
26-set-16;2.73;184.100
27-set-16;2.75;137.100
28-set-16;2.78;134.900
29-set-16;2.8;424.500
30-set-16;2.78;105.000
3-out-16;2.82;111.700
4-out-16;2.82;214.300
5-out-16;2.86;111.700
6-out-16;2.85;149.800
7-out-16;2.73;394.100
10-out-16;2.75;172.300
11-out-16;2.74;97.200
